SpellID,name,castingtime,CastOnYou,CastOnOther,Expired,classes,desc1,desc2,manacost,recasttime,resist
29102,Assuaging Accelerando,3,Your pulse races to the accelerando., moves in time with the accelerando.,Your pulse slows.,BRD/93,Decrease Reuse Timer by 2.00 sec ,,1493,0,Unresistable
29103,Assuaging Accelerando Rk. II,3,Your pulse races to the accelerando., moves in time with the accelerando.,Your pulse slows.,BRD/93,Decrease Reuse Timer by 2.10 sec ,,1553,0,Unresistable
29104,Assuaging Accelerando Rk. III,3,Your pulse races to the accelerando., moves in time with the accelerando.,Your pulse slows.,BRD/93,Decrease Reuse Timer by 2.20 sec ,,1615,0,Unresistable
29105,Chorus of Lunanyn,3,You feel replenished by a chorus of Lunanyn.,,The chorus of Lunanyn fades.,BRD/93,Increase Hitpoints by 93 per tick. Max: 93 per tick,Increase Mana by 79 (L93) to 158 (L1) per tick,0,0,Unresistable
29106,Chorus of Lunanyn Rk. II,3,You feel replenished by a chorus of Lunanyn.,,The chorus of Lunanyn fades.,BRD/93,Increase Hitpoints by 98 per tick. Max: 98 per tick,Increase Mana by 83 (L93) to 166 (L1) per tick,0,0,Unresistable
29107,Chorus of Lunanyn Rk. III,3,You feel replenished by a chorus of Lunanyn.,,The chorus of Lunanyn fades.,BRD/93,Increase Hitpoints by 103 per tick. Max: 103 per tick,Increase Mana by 87 (L93) to 174 (L1) per tick,0,0,Unresistable
29108,Wasinai's Psalm of Potency,3,Your fire and magic curses are strengthened.,,Your curses return to normal strength.,BRD/93,Additional Damage to Spells (1045),Limit: Effect (Hitpoints allowed),0,0,Unresistable
29109,Wasinai's Psalm of Potency Rk. II,3,Your fire and magic curses are strengthened.,,Your curses return to normal strength.,BRD/93,Additional Damage to Spells (1097),Limit: Effect (Hitpoints allowed),0,0,Unresistable
29110,Wasinai's Psalm of Potency Rk. III,3,Your fire and magic curses are strengthened.,,Your curses return to normal strength.,BRD/93,Additional Damage to Spells (1152),Limit: Effect (Hitpoints allowed),0,0,Unresistable
29111,Ryken's Reckless Renewal,3,Your healing spells are strengthened.,,Your healing spells return to normal strength.,BRD/93,Critical Heal (19%),Critical HP Regen (19),0,0,Unresistable
29112,Ryken's Reckless Renewal Rk. II,3,Your healing spells are strengthened.,,Your healing spells return to normal strength.,BRD/93,Critical Heal (20%),Critical HP Regen (20),0,0,Unresistable
29113,Ryken's Reckless Renewal Rk. III,3,Your healing spells are strengthened.,,Your healing spells return to normal strength.,BRD/93,Critical Heal (21%),Critical HP Regen (21),0,0,Unresistable
29114,Hykast's Song of Suffering,3,Your weapons are tinged with the sound of suffering.,'s weapons are tinged with the sound of suffering.,The suffering fades.,BRD/94,Hit Limited Proc: Hykast's Strike (250),Limit Skill to 1H Blunt,1,8.75,Unresistable
29115,Hykast's Song of Suffering Rk. II,3,Your weapons are tinged with the sound of suffering.,'s weapons are tinged with the sound of suffering.,The suffering fades.,BRD/94,Hit Limited Proc: Hykast's Strike II (250),Limit Skill to 1H Blunt,1,8.75,Unresistable
29116,Hykast's Song of Suffering Rk. III,3,Your weapons are tinged with the sound of suffering.,'s weapons are tinged with the sound of suffering.,The suffering fades.,BRD/94,Hit Limited Proc: Hykast's Strike III (250),Limit Skill to 1H Blunt,1,8.75,Unresistable
29120,Terasal's Spry Sonata,3,Your body moves with precision and fluidity to the sonata.,,You no longer hear the sonata.,BRD/93,Increase Absorb Magic Damage by 10 ,Increase AC by 63 ,0,0,Unresistable
29121,Terasal's Spry Sonata Rk. II,3,Your body moves with precision and fluidity to the sonata.,,You no longer hear the sonata.,BRD/93,Increase Absorb Magic Damage by 10 ,Increase AC by 66 ,0,0,Unresistable
29122,Terasal's Spry Sonata Rk. III,3,Your body moves with precision and fluidity to the sonata.,,You no longer hear the sonata.,BRD/93,Increase Absorb Magic Damage by 10 ,Increase AC by 69 ,0,0,Unresistable
29123,Daevan's Aria,3,You are imbued with power from the magic aria.,,The power of the aria fades.,BRD/93,Additional Damage to Spells (1058),Limit: Effect (Hitpoints allowed),0,0,Unresistable
29124,Daevan's Aria Rk. II,3,You are imbued with power from the magic aria.,,The power of the aria fades.,BRD/93,Additional Damage to Spells (1111),Limit: Effect (Hitpoints allowed),0,0,Unresistable
29125,Daevan's Aria Rk. III,3,You are imbued with power from the magic aria.,,The power of the aria fades.,BRD/93,Additional Damage to Spells (1167),Limit: Effect (Hitpoints allowed),0,0,Unresistable
29126,Hiqork's Chant of Poison,3,A painful venom seeps into your skin.,'s skin turns green.,The venom leaves your body.,BRD/93,Decrease Hitpoints by 605 per tick. Max: 703 per tick,,0,0,Poison
29127,Hiqork's Chant of Poison Rk. II,3,A painful venom seeps into your skin.,'s skin turns green.,The venom leaves your body.,BRD/93,Decrease Hitpoints by 635 per tick. Max: 733 per tick,,0,0,Poison
29128,Hiqork's Chant of Poison Rk. III,3,A painful venom seeps into your skin.,'s skin turns green.,The venom leaves your body.,BRD/93,Decrease Hitpoints by 667 per tick. Max: 765 per tick,,0,0,Poison
29129,Oratory of Opposition,3,You are repelled by harsh words., is repelled by harsh words.,,BRD/94,Increase Movement by 0% ,,0,0,Magic
29130,Oratory of Opposition Rk. II,3,You are repelled by harsh words., is repelled by harsh words.,,BRD/94,Increase Movement by 0% ,,0,0,Magic
29131,Oratory of Opposition Rk. III,3,You are repelled by harsh words., is repelled by harsh words.,,BRD/94,Increase Movement by 0% ,,0,0,Magic
29132,Oratory of Invitation,3,You are drawn in by an eloquent statement., is drawn in by an eloquent statement.,,BRD/94,Increase Movement by 0% ,,0,0,Magic
29133,Oratory of Invitation Rk. II,3,You are drawn in by an eloquent statement., is drawn in by an eloquent statement.,,BRD/94,Increase Movement by 0% ,,0,0,Magic
29134,Oratory of Invitation Rk. III,3,You are drawn in by an eloquent statement., is drawn in by an eloquent statement.,,BRD/94,Increase Movement by 0% ,,0,0,Magic
29135,Slumber of Kolain,3,You struggle to keep your eyes open., falls unconscious.,You wake up.,BRD/94,Mesmerize (1/98),Memblur (10%),0,0,Magic
29136,Slumber of Kolain Rk. II,3,You struggle to keep your eyes open., falls unconscious.,You wake up.,BRD/94,Mesmerize (1/98),Memblur (11%),0,0,Magic
29137,Slumber of Kolain Rk. III,3,You struggle to keep your eyes open., falls unconscious.,You wake up.,BRD/94,Mesmerize (1/98),Memblur (12%),0,0,Magic
29138,Voice of Kolain,3,, has succumbed to the enticing call.,,BRD/94,Charm up to level 93,,225,0,Magic
29139,Voice of Kolain Rk. II,3,, has succumbed to the enticing call.,,BRD/94,Charm up to level 93,,225,0,Magic
29140,Voice of Kolain Rk. III,3,, has succumbed to the enticing call.,,BRD/94,Charm up to level 93,,225,0,Magic
29141,War March of Illdaera,3,The war march fills you with bloodlust.,,The war march fades.,BRD/94,Increase Attack Speed by 60% ,Increase STR by 187 ,0,0,Fire
29142,War March of Illdaera Rk. II,3,The war march fills you with bloodlust.,,The war march fades.,BRD/94,Increase Attack Speed by 60% ,Increase STR by 196 ,0,0,Fire
29143,War March of Illdaera Rk. III,3,The war march fills you with bloodlust.,,The war march fades.,BRD/94,Increase Attack Speed by 60% ,Increase STR by 206 ,0,0,Fire
29144,Arcane Address,3,The address causes a surge of arcane energy within your body.,,The arcane address fades.,BRD/95,Trigger on Cast: Arcane Address Effect,Limit: Effect (Hitpoints allowed),0,0,Unresistable
29145,Arcane Address Rk. II,3,The address causes a surge of arcane energy within your body.,,The arcane address fades.,BRD/95,Trigger on Cast: Arcane Address Effect II,Limit: Effect (Hitpoints allowed),0,0,Unresistable
29146,Arcane Address Rk. III,3,The address causes a surge of arcane energy within your body.,,The arcane address fades.,BRD/95,Trigger on Cast: Arcane Address Effect III,Limit: Effect (Hitpoints allowed),0,0,Unresistable
29153,Aura of the Orator,3,You are surrounded by the aura of the orator., is surrounded by the aura of the orator.,,BRD/95,Persistent Effect: Aura of the Orator Effect [29156],,0,1.5,Unresistable
29154,Aura of the Orator Rk. II,3,You are surrounded by the aura of the orator., is surrounded by the aura of the orator.,,BRD/95,Persistent Effect: Aura of the Orator Effect II [29157],,0,1.5,Unresistable
29155,Aura of the Orator Rk. III,3,You are surrounded by the aura of the orator., is surrounded by the aura of the orator.,,BRD/95,Persistent Effect: Aura of the Orator Effect III [29158],,0,1.5,Unresistable
29159,Echo of the Orator,3,You are surrounded by the echo of the orator., is surrounded by the echo of the orator.,,BRD/95,Persistent Effect: Echo of the Orator Effect [29162],,0,1.5,Unresistable
29160,Echo of the Orator Rk. II,3,You are surrounded by the echo of the orator., is surrounded by the echo of the orator.,,BRD/95,Persistent Effect: Echo of the Orator Effect II [29163],,0,1.5,Unresistable
29161,Echo of the Orator Rk. III,3,You are surrounded by the echo of the orator., is surrounded by the echo of the orator.,,BRD/95,Persistent Effect: Echo of the Orator Effect III [29164],,0,1.5,Unresistable
29165,Hykast's Insult,3,You are assaulted by a stinging insult!, staggers back a step.,,BRD/95,Decrease Hitpoints by 3198.  Max: None. Calculates to current max level.,,1870,5.75,Magic
29166,Hykast's Insult Rk. II,3,You are assaulted by a stinging insult!, staggers back a step.,,BRD/95,Decrease Hitpoints by 3358.  Max: None. Calculates to current max level.,,1945,5.75,Magic
29167,Hykast's Insult Rk. III,3,You are assaulted by a stinging insult!, staggers back a step.,,BRD/95,Decrease Hitpoints by 3526.  Max: None. Calculates to current max level.,,2023,5.75,Magic
29168,Hykast's Spiteful Lyric,3,You are infused with spite., seethes with spite.,The spite fades.,BRD/95,,Increase AC v2 by 439,0,0,Unresistable
29169,Hykast's Spiteful Lyric Rk. II,3,You are infused with spite., seethes with spite.,The spite fades.,BRD/95,,Increase AC v2 by 461,0,0,Unresistable
29170,Hykast's Spiteful Lyric Rk. III,3,You are infused with spite., seethes with spite.,The spite fades.,BRD/95,,Increase AC v2 by 484,0,0,Unresistable
29174,Kolain's Lively Crescendo,3,Kolain's song builds in intensity . . .,,,BRD/95,Improved Spell Effect (Crescendo Effect),B_Stacker (130),600,45,Unresistable
29175,Kolain's Lively Crescendo Rk. II,3,Kolain's song builds in intensity . . .,,,BRD/95,Improved Spell Effect (Crescendo Effect II),B_Stacker (140),600,45,Unresistable
29176,Kolain's Lively Crescendo Rk. III,3,Kolain's song builds in intensity . . .,,,BRD/95,Improved Spell Effect (Crescendo Effect III),B_Stacker (150),600,45,Unresistable
29180,Daevan's Chant of Flame,3,Fiery notes sear your flesh., is immolated in burning notes.,The fiery notes fade.,BRD/95,Decrease Hitpoints by 605 per tick. Max: 705 per tick,,0,0,Fire
29181,Daevan's Chant of Flame Rk. II,3,Fiery notes sear your flesh., is immolated in burning notes.,The fiery notes fade.,BRD/95,Decrease Hitpoints by 635 per tick. Max: 735 per tick,,0,0,Fire
29182,Daevan's Chant of Flame Rk. III,3,Fiery notes sear your flesh., is immolated in burning notes.,The fiery notes fade.,BRD/95,Decrease Hitpoints by 667 per tick. Max: 767 per tick,,0,0,Fire
29183,Wave of the Conductor,3,The music relaxes you., is relaxed by the music.,,BRD/95,Mesmerize (1/98),,630,30,Magic
29184,Wave of the Conductor Rk. II,3,The music relaxes you., is relaxed by the music.,,BRD/95,Mesmerize (1/98),,655,30,Magic
29185,Wave of the Conductor Rk. III,3,The music relaxes you., is relaxed by the music.,,BRD/95,Mesmerize (1/98),,681,30,Magic
29195,Accost,0,A focused blow leaves you stunned., is stunned by a focused blow.,,ROG/91,Stun (5.00 sec/95),,0,30,Physical
29196,Accost Rk. II,0,A focused blow leaves you stunned., is stunned by a focused blow.,,ROG/91,Stun (5.00 sec/95),,0,30,Physical
29197,Accost Rk. III,0,A focused blow leaves you stunned., is stunned by a focused blow.,,ROG/91,Stun (5.00 sec/95),,0,30,Physical
29198,Blinding Gleam,0,A blinding flash causes you to lose track of your opponent., is momentarily blinded.,You regain your bearings.,ROG/91,,,0,30,Poison
29199,Blinding Gleam Rk. II,0,A blinding flash causes you to lose track of your opponent., is momentarily blinded.,You regain your bearings.,ROG/91,,,0,30,Poison
29200,Blinding Gleam Rk. III,0,A blinding flash causes you to lose track of your opponent., is momentarily blinded.,You regain your bearings.,ROG/91,,,0,30,Poison
29201,Simple Mark,0,A sudden blow strikes the back of your head., is struck on the back of the head.,,ROG/91,Stun (3.00 sec/95),Add Effect: Marked Effect,0,300,Physical
29202,Simple Mark Rk. II,0,A sudden blow strikes the back of your head., is struck on the back of the head.,,ROG/91,Stun (3.00 sec/95),Add Effect: Marked Effect II,0,300,Physical
29203,Simple Mark Rk. III,0,A sudden blow strikes the back of your head., is struck on the back of the head.,,ROG/91,Stun (3.00 sec/95),Add Effect: Marked Effect III,0,300,Physical
29207,Distraction,0,You throw a stone across the room., throws a stone across the room.,,ROG/92,Persistent Effect: Distraction Effect [26112],,0,90,Unresistable
29208,Distraction Rk. II,0,You throw a stone across the room., throws a stone across the room.,,ROG/92,Persistent Effect: Distraction Effect II [26113],,0,90,Unresistable
29209,Distraction Rk. III,0,You throw a stone across the room., throws a stone across the room.,,ROG/92,Persistent Effect: Distraction Effect III [26114],,0,90,Unresistable
29210,Jugular Gash,0,Your jugular is gashed open!,'s jugular is gashed open!,The bleeding stops.,ROG/92,Decrease Hitpoints by 2095 per tick. Max: 2095 per tick,Decrease Hate by 1257 ,0,150,Physical
29211,Jugular Gash Rk. II,0,Your jugular is gashed open!,'s jugular is gashed open!,The bleeding stops.,ROG/92,Decrease Hitpoints by 2252 per tick. Max: 2252 per tick,Decrease Hate by 1351 ,0,150,Physical
29212,Jugular Gash Rk. III,0,Your jugular is gashed open!,'s jugular is gashed open!,The bleeding stops.,ROG/92,Decrease Hitpoints by 2421 per tick. Max: 2421 per tick,Decrease Hate by 1452 ,0,150,Physical
29213,Razor's Edge Discipline,0,You place yourself on the razor's edge., adopts an aggressive stance.,Your stance returns to normal.,ROG/92,Increase Incoming Spell Damage by 1% ,Skill Damage Taken (15%),0,450,Unresistable
29214,Razor's Edge Discipline Rk. II,0,You place yourself on the razor's edge., adopts an aggressive stance.,Your stance returns to normal.,ROG/92,Increase Incoming Spell Damage by 1% ,Skill Damage Taken (15%),0,450,Unresistable
29215,Razor's Edge Discipline Rk. III,0,You place yourself on the razor's edge., adopts an aggressive stance.,Your stance returns to normal.,ROG/92,Increase Incoming Spell Damage by 1% ,Skill Damage Taken (15%),0,450,Unresistable
29216,Toxic Blade,0,,,,ROG/93,Add Effect: Toxic Blade Effect,,0,600,Unresistable
29217,Toxic Blade Rk. II,0,,,,ROG/93,Add Effect: Toxic Blade Effect II,,0,600,Unresistable
29218,Toxic Blade Rk. III,0,,,,ROG/93,Add Effect: Toxic Blade Effect III,,0,600,Unresistable
29225,Energetic Dagger-Strike,0,You are struck from a distance by a razor-sharp dagger., is struck by a razor-sharp dagger.,,ROG/93,Throwing Attack for 407 with 10000% Accuracy Mod,,0,12,Physical
29226,Energetic Dagger-Strike Rk. II,0,You are struck from a distance by a razor-sharp dagger., is struck by a razor-sharp dagger.,,ROG/93,Throwing Attack for 438 with 10000% Accuracy Mod,,0,12,Physical
29227,Energetic Dagger-Strike Rk. III,0,You are struck from a distance by a razor-sharp dagger., is struck by a razor-sharp dagger.,,ROG/93,Throwing Attack for 471 with 10000% Accuracy Mod,,0,12,Physical
29228,Lacerate,0,You begin bleeding profusely., starts bleeding profusely.,The bleeding stops.,ROG/93,Decrease Hitpoints by 8761 per tick. Max: 8761 per tick,,0,90,Physical
29229,Lacerate Rk. II,0,You begin bleeding profusely., starts bleeding profusely.,The bleeding stops.,ROG/93,Decrease Hitpoints by 9418 per tick. Max: 9418 per tick,,0,90,Physical
29230,Lacerate Rk. III,0,You begin bleeding profusely., starts bleeding profusely.,The bleeding stops.,ROG/93,Decrease Hitpoints by 10124 per tick. Max: 10124 per tick,,0,90,Physical
29231,Quick-Footed Discipline,0,You shift to a lithe defensive stance., shifts to a lithe defensive stance.,,ROG/94,,Increase Chance to Avoid Melee by 74% ,0,600,Unresistable
29232,Quick-Footed Discipline Rk. II,0,You shift to a lithe defensive stance., shifts to a lithe defensive stance.,,ROG/94,,Increase Chance to Avoid Melee by 76% ,0,600,Unresistable
29233,Quick-Footed Discipline Rk. III,0,You shift to a lithe defensive stance., shifts to a lithe defensive stance.,,ROG/94,,Increase Chance to Avoid Melee by 78% ,0,600,Unresistable
29234,Delusion,0,You suddenly feel more hatred for your opponent., snarls at their opponent.,,ROG/94,100% Chance to trigger: Delusion Effect,,0,30,Unresistable
29235,Delusion Rk. II,0,You suddenly feel more hatred for your opponent., snarls at their opponent.,,ROG/94,100% Chance to trigger: Delusion Effect II,,0,30,Unresistable
29236,Delusion Rk. III,0,You suddenly feel more hatred for your opponent., snarls at their opponent.,,ROG/94,100% Chance to trigger: Delusion Effect III,,0,30,Unresistable
29240,Pinpoint Liabilities,0,Your liabilities have been indicated., has had their liabilities pinpointed.,You shield your liabilities again.,ROG/94,,,0,360,Physical
29241,Pinpoint Liabilities Rk. II,0,Your liabilities have been indicated., has had their liabilities pinpointed.,You shield your liabilities again.,ROG/94,,,0,360,Physical
29242,Pinpoint Liabilities Rk. III,0,Your liabilities have been indicated., has had their liabilities pinpointed.,You shield your liabilities again.,ROG/94,,,0,360,Physical
29243,Onslaught,0,You are attacked., is attacked.,,ROG/95,Backstab Attack for 2013 with 10000% Accuracy Mod,,0,30,Unresistable
29244,Onslaught Rk. II,0,You are attacked., is attacked.,,ROG/95,Backstab Attack for 2164 with 10000% Accuracy Mod,,0,30,Unresistable
29245,Onslaught Rk. III,0,You are attacked., is attacked.,,ROG/95,Backstab Attack for 2326 with 10000% Accuracy Mod,,0,30,Unresistable
29249,Daggerstrike,0,You take careful aim., takes careful aim at their target.,,ROG/95,Increase Chance to Hit  by 10000%  with Backstab,Increase Chance to Critical Hit by 475%  with Backstab,0,30,Unresistable
29250,Daggerstrike Rk. II,0,You take careful aim., takes careful aim at their target.,,ROG/95,Increase Chance to Hit  by 10000%  with Backstab,Increase Chance to Critical Hit by 485%  with Backstab,0,30,Unresistable
29251,Daggerstrike Rk. III,0,You take careful aim., takes careful aim at their target.,,ROG/95,Increase Chance to Hit  by 10000%  with Backstab,Increase Chance to Critical Hit by 500%  with Backstab,0,30,Unresistable
29252,Eradicator's Discipline,0,Your muscles quiver with power.,'s eyes gleam with energy.,Your fury fades.,ROG/95,Increase All Skills  Damage Modifier  by 99% ,Increase All Skills  Minimum Damage Modifier  by 542% ,0,1320,Unresistable
29253,Eradicator's Discipline Rk. II,0,Your muscles quiver with power.,'s eyes gleam with energy.,Your fury fades.,ROG/95,Increase All Skills  Damage Modifier  by 106% ,Increase All Skills  Minimum Damage Modifier  by 569% ,0,1320,Unresistable
29254,Eradicator's Discipline Rk. III,0,Your muscles quiver with power.,'s eyes gleam with energy.,Your fury fades.,ROG/95,Increase All Skills  Damage Modifier  by 114% ,Increase All Skills  Minimum Damage Modifier  by 597% ,0,1320,Unresistable
29255,Wild Escape,0,, is blinded by poison.,,ROG/95,Mesmerize (1/98),Improved Spell Effect (Reckless Befuddling),0,30,Poison
29256,Wild Escape Rk. II,0,, is blinded by poison.,,ROG/95,Mesmerize (1/98),Improved Spell Effect (Reckless Befuddling),0,30,Poison
29257,Wild Escape Rk. III,0,, is blinded by poison.,,ROG/95,Mesmerize (1/98),Improved Spell Effect (Reckless Befuddling),0,30,Poison
29261,Smokeblind,0.25,You set a smoke screen trap.,,,ROG/95,Persistent Effect: Smokeblind Effect [29264],,0,30,Unresistable
29262,Smokeblind Rk. II,0.25,You set a smoke screen trap.,,,ROG/95,Persistent Effect: Smokeblind Effect II [29265],,0,30,Unresistable
29263,Smokeblind Rk. III,0.25,You set a smoke screen trap.,,,ROG/95,Persistent Effect: Smokeblind Effect III [29266],,0,30,Unresistable
29276,Maloseneta,3.25,You feel very vulnerable., looks very uncomfortable.,Your vulnerability fades.,SHM/92 MAG/91,Increase Incoming Spell Damage by 1% ,Decrease Cold Resist by 115 ,623,1.5,Magic
29277,Maloseneta Rk. II,3.25,You feel very vulnerable., looks very uncomfortable.,Your vulnerability fades.,SHM/92 MAG/91,Increase Incoming Spell Damage by 1% ,Decrease Cold Resist by 120 ,648,1.5,Magic
29278,Maloseneta Rk. III,3.25,You feel very vulnerable., looks very uncomfortable.,Your vulnerability fades.,SHM/92 MAG/91,Increase Incoming Spell Damage by 1% ,Decrease Cold Resist by 125 ,674,1.5,Magic
29279,Breath of Silbar,3,You begin to cough black fog., begins to retch black fog.,You can breathe again.,SHM/91,Increase Disease Counter by 24 ,Decrease Hitpoints by 2736 per tick. Max: 3039 per tick,4352,1.5,Disease
29280,Breath of Silbar Rk. II,3,You begin to cough black fog., begins to retch black fog.,You can breathe again.,SHM/91,Increase Disease Counter by 24 ,Decrease Hitpoints by 2873 per tick. Max: 3176 per tick,4506,1.5,Disease
29281,Breath of Silbar Rk. III,3,You begin to cough black fog., begins to retch black fog.,You can breathe again.,SHM/91,Increase Disease Counter by 24 ,Decrease Hitpoints by 3017 per tick. Max: 3320 per tick,4667,1.5,Disease
29282,Hiqork's Spear of Venom,3,You are rent by a spear of venom., is rent by a spear of venom.,,SHM/91,Decrease Hitpoints by 3775.,,862,2.7,Poison
29283,Hiqork's Spear of Venom Rk. II,3,You are rent by a spear of venom., is rent by a spear of venom.,,SHM/91,Decrease Hitpoints by 3964.,,896,2.7,Poison
29284,Hiqork's Spear of Venom Rk. III,3,You are rent by a spear of venom., is rent by a spear of venom.,,SHM/91,Decrease Hitpoints by 4162.,,932,2.7,Poison
29285,Talisman of the Lion,7.5,You begin to snarl as your features become feline., growls with the spirit of the lion.,The spirit of the lion departs.,SHM/91,,,2171,5.625,Unresistable
29286,Talisman of the Lion Rk. II,7.5,You begin to snarl as your features become feline., growls with the spirit of the lion.,The spirit of the lion departs.,SHM/91,,,2258,5.625,Unresistable
29287,Talisman of the Lion Rk. III,7.5,You begin to snarl as your features become feline., growls with the spirit of the lion.,The spirit of the lion departs.,SHM/91,,,2348,5.625,Unresistable
29291,Unity of Kolos,9.5,,,,SHM/91,Add Effect: Mammoth's Force,Add Effect: Preeminent Foresight,2536,1.5,Unresistable
29292,Unity of Kolos Rk. II,9.5,,,,SHM/91,Add Effect: Mammoth's Force Rk. II,Add Effect: Preeminent Foresight Rk. II,2637,1.5,Unresistable
29293,Unity of Kolos Rk. III,9.5,,,,SHM/91,Add Effect: Mammoth's Force Rk. III,Add Effect: Preeminent Foresight Rk. III,2742,1.5,Unresistable
29297,Imperative Focusing,0,You experience an imperative focusing., is strengthened by imperative spirits.,Your soul loses focus.,SHM/91,Increase Max Hitpoints by 2544 ,Increase HP when cast by 2544 ,1708,0,Unresistable
29298,Imperative Focusing Rk. II,0,You experience an imperative focusing., is strengthened by imperative spirits.,Your soul loses focus.,SHM/91,Increase Max Hitpoints by 2671 ,Increase HP when cast by 2671 ,1776,0,Unresistable
29299,Imperative Focusing Rk. III,0,You experience an imperative focusing., is strengthened by imperative spirits.,Your soul loses focus.,SHM/91,Increase Max Hitpoints by 2805 ,Increase HP when cast by 2805 ,1847,0,Unresistable
29300,Spirit of Resolve,0,You are filled with the vigor of your ancestors., is filled with ancestral vigor.,The vigor of your ancestors fades.,SHM/91,Increase STA by 174 ,Increase Endurance Pool by 1003 ,456,0,Unresistable
29301,Spirit of Resolve Rk. II,0,You are filled with the vigor of your ancestors., is filled with ancestral vigor.,The vigor of your ancestors fades.,SHM/91,Increase STA by 183 ,Increase Endurance Pool by 1053 ,474,0,Unresistable
29302,Spirit of Resolve Rk. III,0,You are filled with the vigor of your ancestors., is filled with ancestral vigor.,The vigor of your ancestors fades.,SHM/91,Increase STA by 192 ,Increase Endurance Pool by 1106 ,493,0,Unresistable
29303,Feralisera,2.5,Your body shifts to a more feral form., takes on a feral form.,,SHM/92,Transform Body Type (21),,190,1.5,Unresistable
29304,Feralisera Rk. II,2.5,Your body shifts to a more feral form., takes on a feral form.,,SHM/92,Transform Body Type (21),,190,1.5,Unresistable
29305,Feralisera Rk. III,2.5,Your body shifts to a more feral form., takes on a feral form.,,SHM/92,Transform Body Type (21),,190,1.5,Unresistable
29306,Apathy,3,You armor pulses with a dull aura.,'s armor pulses with a dull aura.,The dull aura fades.,SHM/92,,,1234,1.5,Unresistable
29307,Apathy Rk. II,3,You armor pulses with a dull aura.,'s armor pulses with a dull aura.,The dull aura fades.,SHM/92,,,1277,1.5,Unresistable
29308,Apathy Rk. III,3,You armor pulses with a dull aura.,'s armor pulses with a dull aura.,The dull aura fades.,SHM/92,,,1322,1.5,Unresistable
29316,Giaborn's Malady,1.5,Your veins fill with a fast-acting disease., succumbs to a fast-acting disease.,The disease leaves your blood.,SHM/92,Increase Disease Counter by 30 ,Decrease Hitpoints by 2736 per tick. Max: 3042 per tick,536,1.5,Disease
29317,Giaborn's Malady Rk. II,1.5,Your veins fill with a fast-acting disease., succumbs to a fast-acting disease.,The disease leaves your blood.,SHM/92,Increase Disease Counter by 30 ,Decrease Hitpoints by 2873 per tick. Max: 3179 per tick,555,1.5,Disease
29318,Giaborn's Malady Rk. III,1.5,Your veins fill with a fast-acting disease., succumbs to a fast-acting disease.,The disease leaves your blood.,SHM/92,Increase Disease Counter by 30 ,Decrease Hitpoints by 3017 per tick. Max: 3323 per tick,575,1.5,Disease
29319,Yubai's Affliction,1,A strange fever comes over you., is struck by a strange fever.,The fever breaks.,SHM/92,Decrease Hitpoints by 1377 per tick. Max: 1377 per tick,Increase Disease Counter by 18 ,5549,4.5,Disease
29320,Yubai's Affliction Rk. II,1,A strange fever comes over you., is struck by a strange fever.,The fever breaks.,SHM/92,Decrease Hitpoints by 1446 per tick. Max: 1446 per tick,Increase Disease Counter by 18 ,5769,4.5,Disease
29321,Yubai's Affliction Rk. III,1,A strange fever comes over you., is struck by a strange fever.,The fever breaks.,SHM/92,Decrease Hitpoints by 1518 per tick. Max: 1518 per tick,Increase Disease Counter by 18 ,5998,4.5,Disease
29322,Yubai's Malady,0,The strange fever intensifies!,'s fever intensifies!,The fever breaks.,SHM/92,Decrease Hitpoints by 4371 per tick. Max: 4371 per tick,,10,4.5,Disease
29323,Yubai's Malady II,0,The strange fever intensifies!,'s fever intensifies!,The fever breaks.,SHM/92,Decrease Hitpoints by 4590 per tick. Max: 4590 per tick,,10,4.5,Disease
29324,Yubai's Malady III,0,The strange fever intensifies!,'s fever intensifies!,The fever breaks.,SHM/92,Decrease Hitpoints by 4820 per tick. Max: 4820 per tick,,10,4.5,Disease
29325,Gotikan's Recourse,1,The spirit of Gotikan heals you.,,,SHM/92,Increase Hitpoints by 6225.,Add Effect: Gotikan's Watch,2954,24,Unresistable
29326,Gotikan's Recourse Rk. II,1,The spirit of Gotikan heals you.,,,SHM/92,Increase Hitpoints by 6536.,Add Effect: Gotikan's Watch II,3072,24,Unresistable
29327,Gotikan's Recourse Rk. III,1,The spirit of Gotikan heals you.,,,SHM/92,Increase Hitpoints by 6863.,Add Effect: Gotikan's Watch III,3195,24,Unresistable
29340,Matip's Drowse,1.5,Matip's spirit envelops your body., is enveloped by the spirit of Matip.,Matip's drowse fades.,SHM/92,,,633,30,Magic
29341,Matip's Drowse Rk. II,1.25,Matip's spirit envelops your body., is enveloped by the spirit of Matip.,Matip's drowse fades.,SHM/92,,,633,30,Magic
29342,Matip's Drowse Rk. III,1,Matip's spirit envelops your body., is enveloped by the spirit of Matip.,Matip's drowse fades.,SHM/92,,,633,30,Magic
29343,Matip's Recourse,0,The spirit of Matip protects you., is guarded by the spirit of Matip.,The spirit of Matip fades.,SHM/92,"Mitigate Melee Damage by 50%, 9434 total",,0,0,Unresistable
29344,Matip's Recourse II,0,The spirit of Matip protects you., is guarded by the spirit of Matip.,The spirit of Matip fades.,SHM/92,"Mitigate Melee Damage by 50%, 9906 total",,0,0,Unresistable
